Date,Close,High,Low,Open,Volume
2025-01-02,1401.7156982421875,1436.0897520998674,1394.1795923376596,1435.628174812563,5002870
2025-01-03,1389.4696044921875,1408.30044098355,1381.9429274949987,1407.8388636702198,3262836
2025-01-06,1356.4991455078125,1377.8451989813707,1349.7166957770164,1368.7453183492025,4425512
2025-01-07,1356.6875,1367.6996952024467,1355.5571300439613,1360.8889574856346,2422118
2025-01-08,1358.8541259765625,1367.6336389531814,1343.9326681531593,1356.4990928292896,3525821
2025-01-09,1360.2672119140625,1379.6538043266828,1349.8862068981261,1364.9678491049153,2970565
2025-01-10,1352.7310791015625,1367.7561450210246,1352.7310791015625,1363.187403580926,2187195
2025-01-13,1360.248291015625,1360.6815803185455,1339.5522872573956,1342.3688977100849,2108251
2025-01-14,1387.114501953125,1392.9361943981442,1358.3830980077462,1361.1619910811326,3095657
2025-01-15,1385.955810546875,1389.092673176843,1375.3487324753362,1381.9333956930943,1839934
2025-01-16,1362.5091552734375,1396.6854242371292,1358.3831325596086,1388.5275571379077,2634213
2025-01-17,1370.393798828125,1376.2813817411175,1362.5091523907197,1362.5185817227289,1830894
2025-01-20,1389.2811279296875,1403.4018967464606,1375.3392864267055,1376.2812996365867,3140975
2025-01-21,1383.016845703125,1396.0637068749409,1380.049480817671,1395.1216935774546,1685604
2025-01-22,1357.4410400390625,1382.8282501346573,1354.6150003998416,1378.4196926929073,2829384
2025-01-23,1359.3250732421875,1382.8754036864389,1354.6150071533373,1365.8908777720014,2712504
2025-01-24,1352.7310791015625,1363.8374525442262,1347.3710786987065,1358.383158819257,3136034
2025-01-27,1351.779541015625,1360.2388013303214,1344.2717232522282,1353.6729967866786,2935646
2025-02-05,1322.398193359375,1359.325065283006,1320.9003095577607,1356.4990256462431,4075652
2025-02-06,1330.9140625,1339.5335073483225,1318.8280730408,1318.8280730408,2735582
2025-02-07,1352.7310791015625,1359.0237784503458,1322.0308982993379,1331.7053931481555,3724207
2025-02-10,1348.50146484375,1356.4991485410078,1344.3377246712985,1354.615121945812,2083979
2025-02-11,1335.7747802734375,1352.6933013418497,1333.796575458991,1351.7418587658613,2357283
2025-02-12,1359.3250732421875,1361.2090996777276,1334.7196925937076,1335.7747427979361,2547579
2025-02-13,1380.10595703125,1389.7050166425424,1351.3274068769576,1359.3439486583275,4338536
2025-02-14,1389.4696044921875,1391.3536310745499,1373.6625938681223,1380.1060475739382,2709992
2025-02-17,1386.2855224609375,1408.290937992949,1382.0276042088049,1395.1216112697336,3247059
2025-02-18,1389.4696044921875,1406.4164144011877,1377.2987513730586,1384.7595380362818,2779992
2025-02-19,1404.5416259765625,1407.7820960610686,1379.9551054216186,1389.5165620240527,3239331
2025-02-20,1388.5274658203125,1405.455415536239,1387.9528515636011,1397.0055846753892,2374973
2025-02-21,1401.91357421875,1409.9395459209848,1387.5950180777268,1394.1796818351536,3641783
2025-02-24,1393.3033447265625,1412.5675827159364,1388.5273886334392,1401.7155727859956,3474373
2025-02-25,1369.687255859375,1387.9529064473334,1367.8032293726358,1384.7688970850702,2838743
2025-02-26,1375.3486328125,1380.0115519234587,1361.2090061855781,1371.0529976384194,2636609
2025-02-27,1399.417236328125,1403.5055415695633,1369.6872434408451,1375.3581815132095,4976217
2025-02-28,1413.76416015625,1439.7542745902847,1396.063693666552,1399.3607401765605,5612895
2025-03-03,1400.79248046875,1432.7926411240728,1395.5925492305323,1415.4690046585988,3159566
2025-03-04,1384.863037109375,1399.8316409315478,1380.2471493461571,1398.8896277142317,2521121
2025-03-05,1381.3399658203125,1388.527531522781,1375.4335243397657,1386.6435050213931,2460522
2025-03-06,1418.653076171875,1422.628344433728,1386.7188044411564,1388.527511253152,4216764
2025-03-07,1432.8021240234375,1439.7353276029905,1415.845885869314,1415.845885869314,3799135
2025-03-10,1434.5919189453125,1438.341113066066,1418.803768583662,1431.681130367879,3136907
2025-03-11,1458.877197265625,1458.877197265625,1424.3240990804054,1429.0341655456184,3977560
2025-03-12,1453.1307373046875,1459.81912327889,1437.8418808713946,1457.2567598812013,2960396
2025-03-13,1448.5997314453125,1465.3016079413771,1442.1092463645698,1454.4684555843692,2572439
2025-03-14,1533.6070556640625,1533.6070556640625,1451.6424706249497,1457.916311294027,9291315
2025-03-17,1542.8858642578125,1561.8485962733123,1532.5425767933318,1560.916012321063,5468913
2025-03-18,1529.82958984375,1556.2059620824355,1527.662913270258,1549.6495863519278,3161345
2025-03-19,1540.8604736328125,1552.437853402485,1528.887521888491,1530.102755792006,2738955
2025-03-20,1510.9892578125,1542.64088011494,1502.5770288667923,1540.860461267747,3673677
2025-03-21,1482.4932861328125,1518.7136479847197,1477.8585397522538,1506.2791196354995,3361430
2025-03-24,1491.2069091796875,1497.480749346537,1471.7826014184736,1478.9607374681677,2556585
